#x,y,arrival_port_calc,speed,remains_millis,count
87,92,MARSAXLOKK,19,134340000,2
87,92,MARSAXLOKK,13,155451429,7
87,92,MARSAXLOKK,12,174480000,4
87,92,LIVORNO,11,19560000,2
87,92,LIVORNO,10,19410000,2
87,92,GENOVA,23,6230000,6
87,92,GENOVA,19,7200000,11
87,92,AUGUSTA,13,144372000,5
86,92,TARRAGONA,12,126060000,2
85,92,TARRAGONA,12,124750588,17
85,92,GENOVA,19,4800000,2
85,92,GENOVA,18,4932000,5
85,92,FOS SUR MER,18,41400000,5
85,92,BARCELONA,14,87000000,1
84,92,GENOVA,18,6133333,9
84,92,FOS SUR MER,18,40195000,12
84,92,FOS SUR MER,17,40131429,7
84,92,FOS SUR MER,11,94611429,7
84,92,BARCELONA,18,66820000,6
84,92,BARCELONA,16,75227368,19
84,92,BARCELONA,14,85572000,15
84,92,BARCELONA,13,97530000,6
84,92,BARCELONA,12,96147273,11
83,92,GENOVA,19,12420000,9
83,92,FOS SUR MER,17,39154286,7
83,92,FOS SUR MER,13,84660000,1
83,92,FOS SUR MER,11,92940000,15
83,92,FOS SUR MER,10,69540000,7
83,92,FOS SUR MER,9,67890000,2
83,92,BARCELONA,18,65715000,4
83,92,BARCELONA,17,70200000,4
83,92,BARCELONA,16,70042500,8
82,92,FOS SUR MER,13,83700000,1
82,92,FOS SUR MER,9,66625714,7
90,91,LIVORNO,18,6480000,1
90,91,LIVORNO,17,6970909,11
90,91,LIVORNO,16,13920000,1
90,91,GENOVA,23,9825000,4
90,91,GENOVA,20,10800000,1
90,91,GENOVA,19,11700000,3
90,91,GENOVA,16,8632500,8
90,91,GENOVA,14,10131429,7
90,91,GENOVA,13,11070000,4
89,91,LIVORNO,17,8100000,1
89,91,LIVORNO,11,13388571,21
89,91,GENOVA,23,8571429,7
89,91,GENOVA,21,9814286,7
89,91,GENOVA,20,9690000,2
89,91,GENOVA,19,11070000,6
89,91,GENOVA,18,10140000,1
89,91,GENOVA,14,9252000,10
89,91,GENOVA,13,8760000,1
88,91,VALLETTA,12,150815000,12
88,91,VALLETTA,11,149760000,1
88,91,VALLETTA,7,149640000,1
88,91,VALLETTA,5,148920000,3
88,91,VALLETTA,4,149100000,6
88,91,MARSAXLOKK,18,131880000,9
88,91,MARSAXLOKK,14,152932500,8
88,91,MARSAXLOKK,13,167585455,22
88,91,LIVORNO,11,15762000,10
88,91,GENOVA,18,9280000,3
88,91,GENOVA,14,9516923,13
88,91,AUGUSTA,13,140910000,14
85,91,TARRAGONA,12,122466667,9
84,91,TARRAGONA,12,121025455,11
84,91,GENOVA,18,7040000,3
84,91,FOS SUR MER,18,39180000,2
84,91,BARCELONA,16,75270000,2
84,91,BARCELONA,14,84120000,4
84,91,BARCELONA,12,94537500,8
83,91,GENOVA,18,8142857,7
83,91,FOS SUR MER,18,38061818,11
83,91,FOS SUR MER,17,37780000,9
83,91,FOS SUR MER,11,89988000,20
83,91,BARCELONA,18,64380000,2
83,91,BARCELONA,17,73160000,12
83,91,BARCELONA,16,74340000,3
83,91,BARCELONA,14,82892308,13
83,91,BARCELONA,13,92933333,9
83,91,BARCELONA,12,93720000,2
82,91,GENOVA,19,14572500,8
82,91,FOS SUR MER,19,36840000,1
82,91,FOS SUR MER,18,37080000,2
82,91,FOS SUR MER,17,36454286,7
82,91,FOS SUR MER,13,81435000,8
82,91,FOS SUR MER,11,87825000,4
82,91,BARCELONA,19,63070000,6
82,91,BARCELONA,18,63840000,3
82,91,BARCELONA,17,72870000,2
82,91,BARCELONA,16,67730769,13
82,91,BARCELONA,14,81180000,4
81,91,MONACO,16,4380000,3
81,91,MONACO,15,4020000,1
81,91,GENOVA,19,15450000,2
81,91,FOS SUR MER,10,61860000,15
80,91,MONACO,16,2760000,10
80,91,MONACO,15,2940000,1
80,91,GENOVA,11,18240000,2
80,91,FOS SUR MER,10,60300000,5
79,91,MONACO,16,1056000,10
79,91,MONACO,15,360000,3
79,91,GENOVA,11,20514000,10
78,91,MONACO,16,0,1
78,91,GENOVA,11,22268571,7
92,90,LIVORNO,18,4980000,3
92,90,LIVORNO,17,7272000,5
92,90,LIVORNO,16,3900000,1
92,90,LIVORNO,15,11880000,1
92,90,LIVORNO,14,12480000,3
92,90,LIVORNO,12,12120000,1
92,90,GENOVA,23,12480000,1
91,90,LIVORNO,19,5790000,4
91,90,LIVORNO,18,5100000,2
91,90,LIVORNO,17,4565455,11
91,90,LIVORNO,11,7980000,9
91,90,GENOVA,23,11566667,9
91,90,GENOVA,21,13530000,2
91,90,GENOVA,20,12876000,5
91,90,GENOVA,19,13500000,1
91,90,GENOVA,18,14055000,8
91,90,GENOVA,16,11550000,8
91,90,GENOVA,15,12420000,3
91,90,GENOVA,14,13470000,6
91,90,GENOVA,13,13520000,6
90,90,LIVORNO,17,5760000,1
90,90,LIVORNO,11,10177895,19
90,90,GENOVA,23,10536000,5
90,90,GENOVA,20,11588571,7
90,90,GENOVA,19,12600000,12
90,90,GENOVA,14,12060000,1
90,90,GENOVA,13,12120000,9
89,90,VALLETTA,13,145380000,3
89,90,MARSAXLOKK,19,129540000,3
89,90,MARSAXLOKK,18,129990000,2
89,90,MARSAXLOKK,13,157088571,7
89,90,LIVORNO,11,11820000,1
89,90,GENOVA,14,11880000,18
89,90,AUGUSTA,13,137460000,2
88,90,VALLETTA,13,145740000,1
88,90,VALLETTA,12,146040000,4
88,90,VALLETTA,11,146430000,2
88,90,VALLETTA,10,146790000,2
88,90,VALLETTA,9,147150000,2
88,90,VALLETTA,8,147510000,2
88,90,VALLETTA,7,147870000,2
88,90,VALLETTA,6,148200000,3
88,90,VALLETTA,5,148440000,1
88,90,MARSAXLOKK,19,130800000,1
88,90,MARSAXLOKK,18,130575000,4
88,90,MARSAXLOKK,14,150390000,2
88,90,MARSAXLOKK,13,161285455,22
88,90,AUGUSTA,13,138440000,6
84,90,TARRAGONA,12,119310000,12
83,90,TARRAGONA,12,117660000,8
83,90,BARCELONA,12,91567500,8
82,90,GENOVA,18,10209231,13
82,90,FOS SUR MER,19,36660000,1
82,90,FOS SUR MER,18,35962500,8
82,90,FOS SUR MER,17,35460000,3
82,90,FOS SUR MER,13,80580000,2
82,90,FOS SUR MER,11,85863529,17
82,90,BARCELONA,19,62430000,2
82,90,BARCELONA,17,72050000,6
82,90,BARCELONA,16,71340000,2
82,90,BARCELONA,15,79410000,2
82,90,BARCELONA,14,80212500,8
82,90,BARCELONA,12,89688000,15
81,90,GENOVA,19,16360000,9
81,90,GENOVA,18,11535000,4
81,90,FOS SUR MER,18,34465714,14
81,90,FOS SUR MER,17,34637143,7
81,90,FOS SUR MER,14,78240000,2
81,90,FOS SUR MER,13,79404000,15
81,90,BARCELONA,19,62160000,2
81,90,BARCELONA,18,61221818,11
81,90,BARCELONA,17,65890000,12
81,90,BARCELONA,16,70030909,11
81,90,BARCELONA,15,78185455,11
81,90,BARCELONA,14,78900000,3
80,90,GENOVA,19,17545714,7
80,90,FOS SUR MER,18,32850000,2
80,90,FOS SUR MER,17,33180000,1
80,90,FOS SUR MER,14,78000000,1
80,90,FOS SUR MER,13,77370000,6
80,90,FOS SUR MER,10,58627059,17
80,90,CARTAGENA,19,114132000,10
80,90,BARCELONA,18,60240000,3
80,90,BARCELONA,17,64010000,6
80,90,BARCELONA,16,63540000,1
79,90,FOS SUR MER,10,56092000,15
78,90,GENOVA,11,23172000,5
78,90,GENOVA,9,23700000,1
94,89,VALENCIA,15,102960000,1
94,89,VALENCIA,14,103080000,1
94,89,VALENCIA,13,103200000,1
94,89,VALENCIA,11,103380000,2
94,89,VALENCIA,10,103620000,2
94,89,VALENCIA,9,103860000,2
94,89,VALENCIA,8,104100000,2
94,89,VALENCIA,7,113800000,3
94,89,VALENCIA,6,104640000,3
94,89,VALENCIA,5,105180000,3
94,89,TARRAGONA,16,81360000,2
94,89,TARRAGONA,15,81660000,2
94,89,TARRAGONA,14,81900000,1
94,89,TARRAGONA,13,82320000,2
94,89,TARRAGONA,8,82740000,1
94,89,TARRAGONA,7,83790000,2
94,89,TARRAGONA,6,83220000,2
94,89,TARRAGONA,5,83520000,1
94,89,LIVORNO,13,111429,7
94,89,LIVORNO,12,200000,3
94,89,LIVORNO,11,100000,9
94,89,LIVORNO,10,0,2
94,89,LIVORNO,9,0,4
94,89,LIVORNO,8,0,5
94,89,LIVORNO,7,0,3
94,89,LIVORNO,6,0,2
94,89,LIVORNO,5,0,6
94,89,LIVORNO,4,0,1
94,89,LIVORNO,3,0,1
94,89,LIVORNO,2,0,1
94,89,LIVORNO,1,0,1
94,89,GENOVA,18,16920000,2
94,89,GENOVA,17,17544000,5
94,89,GENOVA,16,17520000,6
94,89,GENOVA,15,17146667,9
94,89,GENOVA,14,19740000,3
94,89,GENOVA,13,19360000,3
94,89,GENOVA,12,19956000,5
94,89,GENOVA,11,21420000,1
94,89,GENOVA,10,21320000,3
94,89,GENOVA,9,20520000,2
94,89,GENOVA,8,18240000,2
94,89,GENOVA,7,19920000,6
94,89,GENOVA,6,20100000,2
94,89,GENOVA,5,19350000,2
94,89,CEUTA,10,310740000,5
94,89,CEUTA,9,311280000,1
94,89,CEUTA,5,311460000,1
94,89,BARCELONA,16,70920000,2
94,89,BARCELONA,15,71160000,2
94,89,BARCELONA,14,89172000,5
94,89,BARCELONA,13,115332000,5
94,89,BARCELONA,12,93990000,2
94,89,BARCELONA,11,134700000,7
94,89,BARCELONA,10,103590000,2
94,89,BARCELONA,9,126480000,9
94,89,BARCELONA,8,118672500,8
94,89,BARCELONA,7,131550000,4
94,89,BARCELONA,6,93980000,3
94,89,BARCELONA,5,104850000,2
93,89,VALENCIA,18,101460000,2
93,89,VALENCIA,17,102000000,7
93,89,VALENCIA,16,102660000,4
93,89,LIVORNO,19,9900000,7
93,89,LIVORNO,17,845455,11
93,89,LIVORNO,16,700000,6
93,89,LIVORNO,15,1597500,8
93,89,LIVORNO,14,1320000,3
93,89,LIVORNO,13,2280000,15
93,89,LIVORNO,12,1800000,2
93,89,LIVORNO,11,1803750,16
93,89,LIVORNO,10,0,1
93,89,LIVORNO,9,780000,1
93,89,LIVORNO,7,540000,1
93,89,LIVORNO,5,180000,2
93,89,LIVORNO,4,180000,1
93,89,GENOVA,23,13830000,2
93,89,GENOVA,22,14100000,1
93,89,GENOVA,21,14280000,2
93,89,GENOVA,20,15650000,6
93,89,GENOVA,19,15940000,3
93,89,GENOVA,18,17335714,14
93,89,GENOVA,16,16900000,3
93,89,GENOVA,15,15993333,9
93,89,GENOVA,14,19080000,1
93,89,GENOVA,13,18888000,15
93,89,BARCELONA,19,69680000,3
93,89,BARCELONA,18,70200000,4
93,89,BARCELONA,17,70620000,3
93,89,BARCELONA,13,114720000,1
93,89,BARCELONA,11,133051765,17
92,89,VALENCIA,18,100590000,12
92,89,VALENCIA,17,100200000,1
92,89,LIVORNO,22,2670000,2
92,89,LIVORNO,19,8000000,3
92,89,LIVORNO,18,3205714,7
92,89,LIVORNO,17,2394000,10
92,89,LIVORNO,16,3360000,5
92,89,LIVORNO,11,4293333,18
92,89,GENOVA,23,13062857,7
92,89,GENOVA,21,13980000,1
92,89,GENOVA,20,14800000,6
92,89,GENOVA,18,15960000,13
92,89,GENOVA,16,14900000,3
92,89,GENOVA,15,14215000,12
92,89,GENOVA,14,17310000,2
92,89,GENOVA,13,16630000,12
92,89,BARCELONA,19,68662500,8
92,89,BARCELONA,12,131130000,4
92,89,BARCELONA,11,130278462,13
91,89,VALENCIA,18,99408000,5
91,89,LIVORNO,23,3420000,5
91,89,LIVORNO,22,3000000,2
91,89,LIVORNO,17,3420000,1
91,89,LIVORNO,11,6448000,15
91,89,GENOVA,21,13800000,1
91,89,GENOVA,18,14970000,2
91,89,GENOVA,15,12960000,3
91,89,GENOVA,14,14940000,4
91,89,GENOVA,13,15030000,8
91,89,BARCELONA,19,67230000,10
91,89,BARCELONA,11,128097000,20
90,89,BARCELONA,19,66420000,1
90,89,BARCELONA,11,126030000,6
89,89,VALLETTA,14,143850000,14
89,89,VALLETTA,13,144930000,2
89,89,MARSAXLOKK,19,128244000,5
89,89,MARSAXLOKK,18,128322857,7
89,89,MARSAXLOKK,13,156983333,36
89,89,GENOVA,14,14040000,15
89,89,AUGUSTA,13,135973333,9
83,89,TARRAGONA,12,116910000,2
82,89,BARCELONA,12,88290000,2
81,89,GENOVA,18,12465000,8
81,89,FOS SUR MER,18,33780000,1
81,89,FOS SUR MER,11,83460000,4
81,89,BARCELONA,16,69120000,1
81,89,BARCELONA,15,77130000,2
81,89,BARCELONA,13,85440000,1
81,89,BARCELONA,12,86714118,17
80,89,GENOVA,19,18530000,6
80,89,GENOVA,18,13900000,12
80,89,FOS SUR MER,18,32465455,22
80,89,FOS SUR MER,17,31620000,1
80,89,FOS SUR MER,13,76050000,10
80,89,FOS SUR MER,11,81673636,22
80,89,CARTAGENA,19,113208000,5
80,89,BARCELONA,19,58740000,3
80,89,BARCELONA,18,59468571,7
80,89,BARCELONA,16,66182609,23
80,89,BARCELONA,15,76233333,9
80,89,BARCELONA,14,74991429,7
80,89,BARCELONA,12,84960000,4
79,89,GENOVA,19,19855385,13
79,89,FOS SUR MER,18,30864000,10
79,89,FOS SUR MER,17,30744000,5
79,89,FOS SUR MER,13,74216842,19
79,89,FOS SUR MER,12,74280000,1
79,89,FOS SUR MER,11,79620000,10
79,89,FOS SUR MER,10,54480000,10
79,89,CARTAGENA,19,111973846,13
79,89,BARCELONA,18,57820000,9
79,89,BARCELONA,16,63232174,23
79,89,BARCELONA,14,74184000,5
78,89,FOS SUR MER,11,50640000,2
78,89,FOS SUR MER,10,52359130,23
77,89,FOS SUR MER,11,50460000,1
94,88,LIVORNO,17,450000,4
94,88,LIVORNO,15,0,1
94,88,LIVORNO,14,645000,4
94,88,LIVORNO,13,604000,15
94,88,LIVORNO,12,315000,4
94,88,LIVORNO,11,540000,1
94,88,LIVORNO,10,60000,2
94,88,LIVORNO,9,1780000,12
94,88,LIVORNO,8,942857,14
94,88,CEUTA,10,310020000,3
93,88,TARRAGONA,19,79920000,6
93,88,TARRAGONA,18,80730000,2
93,88,TARRAGONA,17,81030000,2
93,88,LIVORNO,20,8160000,5
93,88,LIVORNO,19,7740000,9
93,88,LIVORNO,18,2880000,2
93,88,LIVORNO,17,2005714,14
93,88,LIVORNO,16,2169231,13
93,88,LIVORNO,15,2906667,9
93,88,LIVORNO,14,2080000,12
93,88,LIVORNO,13,1862857,21
93,88,LIVORNO,12,1680000,3
93,88,LIVORNO,11,1626667,18
93,88,LIVORNO,10,2500000,24
93,88,LIVORNO,9,3855000,12
93,88,LIVORNO,8,1760000,3
93,88,LIVORNO,7,1140000,1
93,88,LIVORNO,6,1560000,2
93,88,LIVORNO,5,1620000,3
93,88,CEUTA,10,308052500,24
93,88,BARCELONA,14,112566667,9
93,88,BARCELONA,13,113897143,7
92,88,LIVORNO,20,3420000,1
92,88,LIVORNO,15,3440000,3
92,88,LIVORNO,14,3420000,4
92,88,LIVORNO,11,4275000,4
92,88,CEUTA,10,305685000,8
91,88,VALENCIA,18,98520000,5
91,88,LIVORNO,23,3975000,4
90,88,VALENCIA,18,97170000,10
90,88,MARSAXLOKK,19,125820000,1
90,88,LIVORNO,23,4920000,7
90,88,GENOVA,14,16655000,12
90,88,BARCELONA,19,65386154,13
90,88,BARCELONA,11,124680000,12
89,88,VALLETTA,15,141435000,4
89,88,VALLETTA,14,141846000,10
89,88,VALENCIA,18,95910000,4
89,88,MARSAXLOKK,19,126768000,10
89,88,MARSAXLOKK,14,145230000,2
89,88,MARSAXLOKK,13,155565000,32
89,88,LIVORNO,23,6120000,10
89,88,GENOVA,14,15510000,2
89,88,BARCELONA,19,63795000,4
89,88,BARCELONA,18,63420000,2
89,88,BARCELONA,11,122730000,18
89,88,AUGUSTA,13,133355294,17
