#ship_id,depart_port,dest_port
0x648df12da99ee8acd4f620dec0aea0d8537aeac3,PALMA DE MALLORCA,MONACO
0x6e2e9d334d9715c11f81a4f7ded99641138fb011,ALEXANDRIA,HAIFA
0x46765664fc931d6a4343b95385e41c209021afb2,CARTAGENA,CEUTA
0x9cd3e4a09c38c9acc075da148c554f0d9eefd6d5,GENOVA,BARCELONA
0x930e40aee884d1ef12a52d091bebe3702e7c9a3e,GENOVA,BARCELONA
0x0e26cd3697a8a86127cada50edd0e83bdeffe84e,MARSAXLOKK,VALLETTA
0x1101e8cfde321a5e5d61ecd3fdf1dd32ad7c18a0,GENOVA,DILISKELESI
0xe656e591eb7f1792514e5f2a726f9795b7c8340f,AUGUSTA,CEUTA
0x4a64b12cf01c3c92c34cc73fe4b55a5819ac3381,BARCELONA,PALMA DE MALLORCA
0xb0403be74e0c81b8793b8201b3299ae01718c877,VALLETTA,MARSAXLOKK
0x23046926b950d8bbcdff7db97e5ef84c089c05f4,NEMRUT,VALENCIA
0xb1a3c0e39d0d08f70c5cae879f46fc2c9943446d,BARCELONA,LIVORNO
0xd8f52795a3e0cb755e91eb742c0b195d605d4fed,CARTAGENA,PALMA DE MALLORCA
0x1fe6a02b7045d03373c99c6342f0e932f7f6150a,VALLETTA,MARSAXLOKK
0x05bc7c2f880dd3977585bbe2846643770ab289fe,ISKENDERUN,NEMRUT
0x51f74a62750e4acc846af4eeab5c7de24b8f6418,GIBRALTAR,PALMA DE MALLORCA
0x58b260bc521ccdecb50692f06bb2cdf60fd0820c,BARCELONA,LIVORNO
0x01550b6bd60955c5e8c479a0dd3b6a0589cfa695,PALMA DE MALLORCA,BARCELONA
0x2605457f73cbf726616a979f6537ac39e4d4808c,GENOVA,CEUTA
0xedec7a6f92ca0e313c3b98c0720924a5affdf2ff,PORT SAID,MARSAXLOKK
0x1634cd072addf4dce748e8a75f412953619c0e26,GIBRALTAR,VALLETTA
0x28eec6a1be43d4d7e96bb30a1bc0d38b2a76dc15,BARCELONA,VALENCIA
0x1c02ef0d38d8a90d2ae403b3f93636f8cde9f210,PIRAEUS,LIVORNO
0x47b3fe5b16ea781b59571901fe2c23f4c0d16f94,NEMRUT,ALEXANDRIA
0x82014d090adccce36f4304480ab926fdca3e755c,BARCELONA,VALENCIA
0xa67ad18fd4a1ff9ec5c7ca116e8a627fbf5f0e14,BARCELONA,VALLETTA
0x4aac718aab3e3d307c93cfb52b215bf273733d03,LIVORNO,FOS SUR MER
0x8f28c6da0d4895747c837895cd156c22834f8436,GENOVA,PIRAEUS
0xc3f3db7cc32204de9b72044da58bac1a087e374c,FOS SUR MER,BARCELONA
0xb2493b268998f38208dfc4474b0bcb5f3ec3441c,VALLETTA,GIBRALTAR
0xdf42e16620ac0906abda39b37b750397b37efc91,PALMA DE MALLORCA,VALENCIA
0x1c31a33cbafe263b40c09251b29dce3e961b456d,FOS SUR MER,GEMLIK
0xb5e4e656dddc530a5cad0bf6b92292356e5d6ae6,CEUTA,FOS SUR MER
0x08cd30ff11fcc9b1b1d4ed9bb1b25529d1392786,AUGUSTA,LIVORNO
0xfcb395cf8b96fee3fb70b8cc96701d1c47a7bed3,CEUTA,TARRAGONA
0x01e8828f3d004a124cbdc9569d10f11da6c92a73,PIRAEUS,LIVORNO
0x5f5de9357a384bb31aabafdcc3924b06e75c0a04,LIVORNO,GENOVA
0x2329bbe5b6bc46a15b5db7041637a10f617ba62c,FOS SUR MER,TARRAGONA
0x64ceb98f746a0b603384a7e448f2384c2f75bec9,MARSAXLOKK,PORT SAID
0xa980a309cdb1beea8c496d306d1b009dd6c5f909,GIBRALTAR,PALMA DE MALLORCA
0x023db8bbb80aa3144444cefe369f4e4edfedd70f,VALENCIA,PALMA DE MALLORCA
0xf35bdcb690e25735503d720cfb77257c881a34c8,BARCELONA,VALENCIA
0xe0931d9b0a0e42c2206120743ea9e3db8e0b483d,BARCELONA,VALENCIA
0x917f267d492e46bc6099907a82ea7115d5c6445f,DAMIETTA,ISKENDERUN
0xdb152af94b5a9c8a54e33f4b15c37058b7eda2c1,FOS SUR MER,LIVORNO
0xdba4a91e81f2191c5c9958e7fb68b02fbab94886,VALENCIA,BARCELONA
0x0735a6858e248946e1a5d3365ac808106106e282,TARRAGONA,LIVORNO
0xe2fdac487a95909d04d03553781ac281975fefb4,CEUTA,GENOVA
0x0bf957971b25d2e41bca6830b5a861f64f225ba5,NEMRUT,HAIFA
0xe2e179908006d255963a4c21a64b299618c9081f,BARCELONA,VALENCIA
0xedec7a6f92ca0e313c3b98c0720924a5affdf2ff,VALENCIA,BARCELONA
0x2474e343809eca46a76fd9e5de5327028a031e06,VALENCIA,BARCELONA
0xf10a87f61c10b8230172a361be55e0ccbfe4a603,MARSAXLOKK,AUGUSTA
0x96a1558a4f8655221bdddba48db52ece8750d767,GEMLIK,PIRAEUS
0xe0931d9b0a0e42c2206120743ea9e3db8e0b483d,CARTAGENA,VALENCIA
0x36697c5990843e0edfef362bf8f458f1cc09ebce,VALENCIA,BARCELONA
0x8e8fe9428d08467d17e360df01ac9f4f8fb4a637,PALMA DE MALLORCA,VALLETTA
0x24d678506e6a3278bdd4a8302199a0d240eff3c6,PORT SAID,HAIFA
0x051ae778ac823021b0a72a2927f434fe90cd9a3f,CARTAGENA,TARRAGONA
0x4f5199b60c9c31ff285efd62718eed3585e270e3,BARCELONA,FOS SUR MER
0xd4517cbd477b34d102f4ef521c5331cb386bb140,AUGUSTA,MARSAXLOKK
0x9dbb7f83a82dff4d62f7f5f2c0491527ce35cce8,BARCELONA,FOS SUR MER
0x74c6c9089bf5b16dc7e521a50b0d5cc06ff781b0,TARRAGONA,CEUTA
0x37e20ec33124b88112946868fb963dccbfabd240,LIVORNO,FOS SUR MER
0x8bea77c898f7d5199c3c6e55988a04a0f2ea4acc,ISKENDERUN,YALOVA
0x4f5199b60c9c31ff285efd62718eed3585e270e3,BARCELONA,TARRAGONA
0x2295cf3f686b438e9edf3a2f26398de8d9dd0238,HAIFA,PORT SAID
0x01550b6bd60955c5e8c479a0dd3b6a0589cfa695,CARTAGENA,VALENCIA
0x347cf360086c94cd4f0c7b2c3e823fd7e22ca4db,VALLETTA,MARSAXLOKK
0x22cbe6ca3c25d898c0a15cdf02a49c4f4b6509e0,HAIFA,ISKENDERUN
0x0bf957971b25d2e41bca6830b5a861f64f225ba5,ISKENDERUN,GEMLIK
0x1d7d9c8e4af9b5abda415387468c5202dd4f70a2,TARRAGONA,AUGUSTA
0xe2264ab8dfa66d964f55262616d32110b34704ae,TARRAGONA,PIRAEUS
0xba51e35ac4d6a9de8a5f33eb341a41d432939404,DAMIETTA,AUGUSTA
0x155fd79a1eeae7bdf7d925c8bc9cea691142ae93,GIBRALTAR,GIBRALTAR
0x0fb931279c287ba5adc73b95843c35ba2ac78ab7,PALMA DE MALLORCA,VALLETTA
0x3f9258a0bbd68ffce24cefa1babfba8f54b446ee,VALLETTA,MARSAXLOKK
0xfca8822757835a5c7cb36bf1ed593b97aa5eab8d,BARCELONA,VALENCIA
0x5f5de9357a384bb31aabafdcc3924b06e75c0a04,GENOVA,FOS SUR MER
0x76a69dab775516c15263e65011e6b5c9b294c5eb,GENOVA,LIVORNO
0xca98c57a67d1f18fa5a61c03378ae668f9eefe63,NEMRUT,FOS SUR MER
0x9d98d0cc3f811cc10a214f7f16a16d6ffff21a2f,CARTAGENA,GIBRALTAR
0x4bf19351b48ac32ef5d9000c132304b900b7a84c,BARCELONA,VALENCIA
0x54cf25b78f24993bf398927e06227f61107ea74e,FOS SUR MER,BARCELONA
0x4f28b77474ba677f163f49995b04223c3d8a010d,BARCELONA,VALENCIA
0x9c814aebc859cec0676e8c43b521f4bc70ce1b44,VALLETTA,MARSAXLOKK
0x1e773a38719fbe54c2ed4e35b788d1b13aa9cf02,BARCELONA,VALENCIA
0x8c69fbd2e33ad753323022f4ec93dbdea72ade7d,BARCELONA,PALMA DE MALLORCA
0xeb1bcb9d4222ff0639177ebe50054121d4c797ad,DAMIETTA,ALEXANDRIA
0x8df7bb91722030d221ef05bd3e7f042ceb5f4d85,TARRAGONA,AUGUSTA
0x62eaedeada371f634322780ae8ff95e6c269ebf3,PALMA DE MALLORCA,BARCELONA
0xbd0c0335981dd0ffca3dbf962e418c5a8e2bf27a,GENOVA,VALENCIA
0xbd205f6a6a55f78f5d44e60538c14b84bb0ed82b,PALMA DE MALLORCA,GENOVA
0x63cc25285639534b8d51df99ba4d81e6e7e05752,FOS SUR MER,PIRAEUS
0xd7c9b9ef97a722d5ebfdfa655c70bf38e1c1c809,VALENCIA,PALMA DE MALLORCA
0x28eec6a1be43d4d7e96bb30a1bc0d38b2a76dc15,TARRAGONA,BARCELONA
0xbdf40f7c1c09d12f1900d01d7cff9cbed7aa00dd,BARCELONA,GENOVA
0x336a704d597478a6d093225a40f5fd3ab79088df,ALEXANDRIA,TUZLA
0x8d629fb2490e0d95f51129c61b6d815460234e1e,LIVORNO,TARRAGONA
0xa680b71759406d601f3baf9e8ce6ae9f695bfc90,GENOVA,PALMA DE MALLORCA
0xd73544f705566d620e2606a706a8c542ef1517ed,PIRAEUS,DILISKELESI
0x546fc7916b428fe02bb5ee9d1925dbbb5d867128,VALENCIA,BARCELONA
0x353376968c307f9a9062e1658843d8241fe8c099,MARSAXLOKK,VALLETTA
0x285c6a4b70b1ab7df694dc91d3e903df7362869c,LIVORNO,GENOVA
0x36697c5990843e0edfef362bf8f458f1cc09ebce,PALMA DE MALLORCA,BARCELONA
0xdda0412a544468b74f571056d7c0086546df0ed8,PALMA DE MALLORCA,BARCELONA
0xd4520c528a15d86989c56a5266ae20863d4cb707,GEMLIK,NEMRUT
0x8aa3613447ff1b33d52a3e058a65d020a4390cf0,VALENCIA,TARRAGONA
0xf7fe87ed320246c60667cae03de8bab1fa5c31f8,CARTAGENA,VALENCIA
0x25e62281c962f0f5526f1a6565b79a7273b52d55,VALLETTA,MARSAXLOKK
0xb6076933c6f0adcef4b0f472b2c48ffa52ff894a,MARSAXLOKK,VALLETTA
0x48544191c2bab3e70988d7044b8d72fbaaa3945d,DILISKELESI,PIRAEUS
0x0b98f267e96f76f14e1525a40df0274066124eb5,BARCELONA,PALMA DE MALLORCA
0x1e773a38719fbe54c2ed4e35b788d1b13aa9cf02,BARCELONA,LIVORNO
0xa96dac0d0ac7d57d94fa13c4c8e9ec3d34d27b11,FOS SUR MER,CARTAGENA
0x841951dce44988178868bbcab71df388854e5b76,BARCELONA,FOS SUR MER
0xea3267925640b6b06f4daeb766d59049d7e152a7,GENOVA,MONACO
0x41e262e198653126a53d20f529da11b38824c556,MARSAXLOKK,VALLETTA
0xa96dac0d0ac7d57d94fa13c4c8e9ec3d34d27b11,BARCELONA,FOS SUR MER
0x4e7bb0a3547e512a88d21a96bb58cfff6113d038,DAMIETTA,ISKENDERUN
0x9c189673307a6fccf066426ed932392faeac0eb0,TARRAGONA,CARTAGENA
0x76a69dab775516c15263e65011e6b5c9b294c5eb,LIVORNO,GENOVA
0xa26dd98b16ca81c4858be9fca93163374e5321d2,PALMA DE MALLORCA,BARCELONA
0x42ac9151d1897ae376c8367fb8978852d16e9fdd,CEUTA,VALENCIA
0x8b5f45869a1da6a3e5a97c780aaf1485ce415eb0,GIBRALTAR,PALMA DE MALLORCA
0x3967de9fdb9f27f2cfb6f65074b4aef7b71f796d,CARTAGENA,GIBRALTAR
0x0ea3fcdb4135132015cafed00fbee72c24b3256d,GIBRALTAR,PALMA DE MALLORCA
0x620fe71a300e80a1e68db7c1026dff1dfea918a0,GENOVA,MONACO
0x2e490bdd5ca30985b72044fc6b1662dc343c9518,VALENCIA,CARTAGENA
0x52498d8e710e77c3f37af3beb97dd96e5ed8f390,MARSAXLOKK,ISKENDERUN
0xdba39f112f12f147a224635974d7aa871e7c0d4d,MARSAXLOKK,VALLETTA
0x94dc1d7db5af8cbe62f40e0c39ddea1d2cb00a74,GENOVA,CEUTA
0xd4520c528a15d86989c56a5266ae20863d4cb707,NEMRUT,VALENCIA
0xcc9ceb11c2f5cbe9e106dad16b6d9114fa713337,GENOVA,BARCELONA
0x019d2386bff02a0aa96e825e56668dc359e3a987,DILISKELESI,GEMLIK
0x00624a4779c0e72375b7cfd7cbb91fdcd355d099,GIBRALTAR,BARCELONA
0x5f5de9357a384bb31aabafdcc3924b06e75c0a04,BARCELONA,VALENCIA
0xbd1032f6af953908de372c8339b9ee37b3f7033a,NEMRUT,ISKENDERUN
0xbd1032f6af953908de372c8339b9ee37b3f7033a,DAMIETTA,NEMRUT
0xa45568f24f5d8fc725e09b3abb1167337511c416,TARRAGONA,CARTAGENA
0xf1088bd5cd349d7b0389489eb5e79d147bf7228d,ISKENDERUN,NEMRUT
0xeb5ab6e5b883e334c4eeb6c8be18426ced184984,LIVORNO,PIRAEUS
0x6bd7d1291c6f3d91a81449f7e959a73b2b07cf9e,CARTAGENA,CEUTA
0x2c58c6bae8c183d99f4f0e6f27fa8f9b625d846b,PALMA DE MALLORCA,VALENCIA
0xed1a84d4169e0137c1f02ca28f72af6f1410b76c,MARSAXLOKK,VALLETTA
0xe64359147d1f49b2e6a5abebb398b597f50bb05d,MARSAXLOKK,VALENCIA
0x58b260bc521ccdecb50692f06bb2cdf60fd0820c,TARRAGONA,BARCELONA
0xbd9725d714364b7d43a27eb36c87c208c6763104,FOS SUR MER,GIBRALTAR
0x3c72771f34ce98a81a99aea52be18a9f2eea9e27,BARCELONA,VALENCIA
0x5711c7eaf8c97793c46f4bd4331142467fb6da2b,BARCELONA,LIVORNO
0x267a9d3932ba308fd8acd722bf8d9c6166037703,PORT SAID,HAIFA
0x99ea930b11fab7f9f84596a5588cd56b7577d933,PALMA DE MALLORCA,BARCELONA
0xd7c9b9ef97a722d5ebfdfa655c70bf38e1c1c809,PALMA DE MALLORCA,BARCELONA
0x0851dcadc36e85cee9c77a4a0ae4edb99354eb94,GEMLIK,PORT SAID
0x7f07483d084ff6b27c515ebeea7bf187041d4c91,DILISKELESI,NEMRUT
0xfbd2bc2a220eb1c53f81f66bdb3da825468d2d0a,LIVORNO,MARSAXLOKK
0x892f2f2c73288522997e752555b5f40f0d5c43cf,ISKENDERUN,DILISKELESI
0x7356e12725a655996456ffe994a0944f026378b2,CARTAGENA,VALENCIA
0x7cbb45cd4fa01863d0d429fe7a036f60d7e3b05b,BARCELONA,AUGUSTA
0x8f28c6da0d4895747c837895cd156c22834f8436,BARCELONA,GENOVA
0xbb9049abff355d7adb84ac029248738204e844e9,BARCELONA,LIVORNO
0x12658a490c2e1c4aa86efba27742906cfce5b4b4,VALENCIA,MARSAXLOKK
0x2e490bdd5ca30985b72044fc6b1662dc343c9518,BARCELONA,VALENCIA
0xe8cafeea1564b120a3329dfcfabe68d4d1f9d638,ISKENDERUN,NEMRUT
0x11ae2abe4a4378be7cde39fca41446fe2a6dfb03,LIVORNO,GENOVA
0x023426d17af6890fb0e9d35dd83b55e59319922a,MARSAXLOKK,VALLETTA
0xb5104ce8a6e0b124e7c9669ac454c4f601a4e328,PORT SAID,ALEXANDRIA
0x42ac9151d1897ae376c8367fb8978852d16e9fdd,VALENCIA,BARCELONA
0x2aef4e99ed3e09305a3d124cab54d5c6cffea896,DAMIETTA,ISKENDERUN
0xfddde76f981c2899d910339ebf9627420423d237,PALMA DE MALLORCA,VALENCIA
0x61854d5f2106d3b6c3d02e8a778921c0e7d56d61,MONACO,GENOVA
0x326ebca10f7d586cf0cc96fe960636824b717d45,ALEXANDRIA,GEMLIK
0xd90f1fc924cd3a3611c50aa3bea24dcb0015bf3a,GIBRALTAR,CARTAGENA
0x044352d2206869fe02eea31bacd59d0eb2be2c74,PIRAEUS,LIVORNO
0xd81cab83c4474927bde179077a302e941beb3059,VALENCIA,CARTAGENA
0x27e022ebd994cf7f71edd04c50b424f44119e3d6,BARCELONA,MONACO
0x8f0956ab74f8ef9c0fa6edfcd109f85bba61915c,ISKENDERUN,DILISKELESI
0x97b7bd69ff5906d07fbf154ff00f9acee406fd46,ISKENDERUN,DAMIETTA
0xa24af55bef77a07e396ffb0f26516cf7784089a4,CARTAGENA,PALMA DE MALLORCA
0xf61f4c714d2c0c963d59e3faee896b82904cf374,BARCELONA,PALMA DE MALLORCA
0x252b43106a3e7721c9ebf81cd58a2280926f19e3,MONACO,GENOVA
0x9ec3df2faf3b10304c01aecc3ee87c4a01a77b45,TARRAGONA,GIBRALTAR
0x25e3b1676e869588fe115bb72cf623e6c4a47059,GIBRALTAR,CARTAGENA
0xc96ebac3979b3576df1f8e1f50cd277c2af97135,CEUTA,ISKENDERUN
0xf7fe87ed320246c60667cae03de8bab1fa5c31f8,GIBRALTAR,CARTAGENA
0x353376968c307f9a9062e1658843d8241fe8c099,VALLETTA,MARSAXLOKK
0xe560441b7a5e1429f9161bb49b634d1380189e81,PALMA DE MALLORCA,GENOVA
0x5be051972572521b7b720e6296a2d4c592faffda,LIVORNO,PIRAEUS
0xa96dac0d0ac7d57d94fa13c4c8e9ec3d34d27b11,CARTAGENA,TARRAGONA
0x5711c7eaf8c97793c46f4bd4331142467fb6da2b,BARCELONA,VALENCIA
0x0e3e4704965958ac6434d1a8cc72f9da67b39e28,TARRAGONA,CEUTA
0x7356e12725a655996456ffe994a0944f026378b2,BARCELONA,PALMA DE MALLORCA
0x2c1bb2125b3965af0b9cdf26011cd94a5996ab15,GENOVA,LIVORNO
0x6f113ccc011c118192321f75fd1e6a0e4e09ba8d,BARCELONA,CARTAGENA
0x95671152f9b05b00b1189724a5211df44344052f,VALLETTA,MARSAXLOKK
0x972b25d390292f655e7ac14c2f74ae778ad08c78,GENOVA,MONACO
0x62eaedeada371f634322780ae8ff95e6c269ebf3,BARCELONA,GENOVA
0xe9ceace3cf6678bfb3941ad30ef950b1b230915d,MARSAXLOKK,VALLETTA
0x1945e9c40c213377666d65c9361f7b56dc9a7a41,GIBRALTAR,FOS SUR MER
0xc933d186ec623f4993d97d1ecbe466bb0fd308df,VALENCIA,PALMA DE MALLORCA
0x2cb98386e3232aa795c4980fab34ecd089125263,GENOVA,BARCELONA
0xfba824555e0bdd8f22bed04f17fc2ba79bded4f5,DAMIETTA,PORT SAID
0xb3757e73b4bfb806a01e23d01fc2149b99a21b9e,GENOVA,LIVORNO
0x27956c2bffa2c48dc3f26e0f0d648aaafd13e18d,NEMRUT,ISKENDERUN
0x26c89f263e26f145e9578109de116ed307efd4d9,GEMLIK,DILISKELESI
0x7f1e0063f9d41f1fc6838a36345cf4fb85e837a7,PIRAEUS,GEMLIK
0x019d2386bff02a0aa96e825e56668dc359e3a987,ALEXANDRIA,ISKENDERUN
0x2b9b5a8231d17d61242eb3ca6ba10d238bc248b4,LIVORNO,AUGUSTA
0x788523c3441e3abecf72a2ec57e15cc7c641a4b3,PALMA DE MALLORCA,VALENCIA
0xbd9725d714364b7d43a27eb36c87c208c6763104,LIVORNO,FOS SUR MER
0xb3757e73b4bfb806a01e23d01fc2149b99a21b9e,LIVORNO,BARCELONA
0x63cc25285639534b8d51df99ba4d81e6e7e05752,BARCELONA,FOS SUR MER
0x262ae4c103e1f7c0ae0b43578cdbc82c8bc24b87,CARTAGENA,BARCELONA
0x788523c3441e3abecf72a2ec57e15cc7c641a4b3,PALMA DE MALLORCA,BARCELONA
0xf161352bf65f5538c0f15d5951d7f07b930d1094,CARTAGENA,TARRAGONA
0x1dbf8398cffe3632d65a6f80253856524d6435da,LIVORNO,GENOVA
0xf11d977729eeca3e9cada338653d1c6edade67f9,FOS SUR MER,CEUTA
0xb6b38be203a8a30105ca9d27108638c366798eb5,GEMLIK,NEMRUT
0xe68f067c26be4114f9fe38de236fc6cda41d0cb2,GENOVA,LIVORNO
0x6f113ccc011c118192321f75fd1e6a0e4e09ba8d,GIBRALTAR,BARCELONA
0x9687725a45820db77929869abcbb953793cadb1b,DILISKELESI,TUZLA
0x03a0f55ff3f188e443af584638a7f9970744cd4b,BARCELONA,VALENCIA
0xe68f067c26be4114f9fe38de236fc6cda41d0cb2,LIVORNO,BARCELONA
0x55c90ecd0e2fbe988160679386092a380fbfe4e8,BARCELONA,VALENCIA
0x99d25a1a99935d9c11cbbb73b5ff63edf82d6839,GIBRALTAR,VALLETTA
0x225ea890879f788633a06cc78feaa4a5bd042d53,DILISKELESI,YALOVA
0x43ebc8eb20ada4a273c146172a53df03623910b6,LIVORNO,GENOVA
0xe12115efd9af26ca25e20bc89877a40033141677,GENOVA,BARCELONA
0x057e6e20d32a9e595926f5f74efce899bad96d97,PALMA DE MALLORCA,GENOVA
0x6bd7d1291c6f3d91a81449f7e959a73b2b07cf9e,CEUTA,CARTAGENA
0x26c89f263e26f145e9578109de116ed307efd4d9,FOS SUR MER,PIRAEUS
0x8b89a87165fe948dadea6360f33a38d217f3d244,BARCELONA,LIVORNO
0xa26dd98b16ca81c4858be9fca93163374e5321d2,BARCELONA,PALMA DE MALLORCA
0xec0a1ec50b325da7b61e96a072d3f70b5be5189b,VALENCIA,PALMA DE MALLORCA
0x0735a6858e248946e1a5d3365ac808106106e282,LIVORNO,BARCELONA
0x6b602636f4613f7287a462fdb272b07ea44d2882,CEUTA,PORT SAID
0x36697c5990843e0edfef362bf8f458f1cc09ebce,BARCELONA,PALMA DE MALLORCA
0x665887cfa7eebcb80318fc369215abbf55160f60,GIBRALTAR,CARTAGENA
0x0b98f267e96f76f14e1525a40df0274066124eb5,PALMA DE MALLORCA,VALENCIA
0x4d54767a17f891a2691acdb8e9d99c0fc607b244,BARCELONA,TARRAGONA
0x0c14401330f10cce62fbcf9681116a49f720c527,VALLETTA,MARSAXLOKK
0xe476c144269af34b7d378c2887bf7171ebc34cad,LIVORNO,MONACO
0x50720051ed7692cbb84a1ef0240394dc3112b658,GEMLIK,PIRAEUS
0xbf5c365643465645bf1b2aef5a46984b4d78d3e3,NEMRUT,BARCELONA
0x58ddbb85a14068d5783edac3954083bf1ce429cc,LIVORNO,GENOVA
0xc641a91def42620c74b6918fd38a4b79cf2a4041,GIBRALTAR,TARRAGONA
0x4925b8b7c005db08651e965274d61e8fa5578a5a,GENOVA,LIVORNO
0x3bd7c32b3c79dd85151c6588a929609c0b214c0b,VALENCIA,CEUTA
0x91fab1523ca1e9296d3deedf221813f6a6829a62,GIBRALTAR,MONACO
0xc92609e5b70967ac58fc725e5b2bb5b9548764a8,TARRAGONA,GIBRALTAR
0xce279d9e45bfacf4b1196a470d95401026a57cf2,PALMA DE MALLORCA,VALENCIA
0x23046926b950d8bbcdff7db97e5ef84c089c05f4,BARCELONA,FOS SUR MER
0x53db510aa28a47bfb4cb60461756f09bbe9d6878,VALLETTA,MARSAXLOKK
0x6d6794f3186f584637721a1e1789fd2e71c28195,CEUTA,GIBRALTAR
0x36697c5990843e0edfef362bf8f458f1cc09ebce,LIVORNO,PALMA DE MALLORCA
0x02a969f6355bd9f387090c821268a133b3bc14de,GIBRALTAR,CARTAGENA
0xb2dacd38492fcc8bc627f109dec80cd058b944a1,FOS SUR MER,VALENCIA
0xb4109047090f1067e5befca28c8067cbcf72e1d1,ISKENDERUN,DILISKELESI
0x83d4a74e0ef13279f739ad1755d206395c9c7626,GIBRALTAR,PALMA DE MALLORCA
0xd5f5f5b0a83b39dee8e6e89db2e52537bf0cd846,DILISKELESI,TUZLA
0xe4125eb8e3f348d22cd95f17bef5489d58ee4b96,FOS SUR MER,BARCELONA
0x563fdfe8df2765a3d370125e28bfc7e514291181,NEMRUT,HAIFA
0x7eaf0e3d140ededd9a0ba7156e45823025a7aae6,HAIFA,ISKENDERUN
0xbdf40f7c1c09d12f1900d01d7cff9cbed7aa00dd,PALMA DE MALLORCA,BARCELONA
0x23f4a3774efdec12912114995145fe626e78b583,ALEXANDRIA,PIRAEUS
0xb6b38be203a8a30105ca9d27108638c366798eb5,NEMRUT,DILISKELESI
0x8b584c3decb4fb74fbf303ddc8a63a1cf4ba86fd,TARRAGONA,BARCELONA
0xd06798e779f5a37e01ddc706662054e7deaaf4e4,DILISKELESI,GEMLIK
0x0e7341190f9dd14387b72750b07dbe0197f2e727,VALENCIA,MARSAXLOKK
0x82014d090adccce36f4304480ab926fdca3e755c,FOS SUR MER,BARCELONA
0xa17b3f23bdd7fb47a9a58afdea7c74a70c8a8e86,ISKENDERUN,YALOVA
0x07940191cc125f4b11e5f33871fe1a1e5559966c,LIVORNO,VALENCIA
0x970792ddab9b3cb542550fac15272efecef49b02,AUGUSTA,VALLETTA
0x8becf1ebad2a59e46c735489608c31f445310940,BARCELONA,VALENCIA
